"","D3","D9","D11","D12","D16","D22","D24","D28","D29","D31","D33","D35","D41","D42","D43","D44","D46","D48","D51","D54","D55","D57","D58","D59","D60","D61","D63","D64","D65","D66","H1","H3","H5","H9","H10","H12","H15","H16","H20","H21","H24","H25","H26","H27","H29","H30","H31","H34","H37","H38","H40","H41","H43","H44","H45","H46","H47","H48","H50","H52"
"Label","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Disease","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health","Health"
"Phenylglyoxylic acid","-0.68170023","-0.37102848"," 0.27378077","-0.84182648"," 2.13769917","-0.47215785"," 0.38578679","-0.71654042"," 0.60290250","-0.90708075","-0.12871160","-0.25372855","-0.05353121","-0.25374216","-0.19561344","-0.35563134","-0.56389911"," 0.52143126"," 1.62567756","-0.41445549"," 3.64787949"," 1.40448005","-0.72885875","-0.17860366","-0.26772243","-0.88866678","-0.43328591","-0.87668978","-0.58714296"," 0.27457798","-0.57048301"," 1.38975378"," 0.30648518","-0.82038979","-0.24594959","-0.81363410","-1.01664058","-0.86526043","-0.26557185","-0.46844090"," 0.48548726"," 0.19450563","-0.16152967","-0.68048236"," 0.32589883","-0.99648145","-0.98567821","-0.21523424","-0.91857310","-0.18947677"," 0.75333396","-0.43195335"," 3.03465038","-1.04798887"," 1.53022072","-0.48495543"," 2.32335721","-0.51555167"," 0.11673430"," 0.53024989"
"2-Ketohexanoic acid","-0.667437090","-0.098834030","-0.665846457"," 0.399677805"," 2.755188796"," 0.897914578","-0.421370315"," 2.027533401","-0.478678038","-0.423758200","-0.542254699","-0.170655714","-0.518761734","-0.706616133","-0.755814935"," 0.255723077"," 0.212935876"," 0.211191626","-0.758178767","-0.750260472","-0.824620596","-0.063986702","-0.002699199"," 0.841437175","-0.708808973","-0.553911485"," 0.156775681","-0.258490178"," 0.939952504"," 0.654557494","-0.265890089"," 0.002768841"," 5.602622367","-0.733739575","-0.007573103","-0.163994933","-0.471658121","-0.868225084"," 0.609279934","-0.167103767","-0.603554883","-0.230514092","-0.129362021"," 0.056758215"," 0.159115362","-0.585057389"," 0.582882780","-0.040807016","-0.702045492","-0.356277044"," 0.683803741"," 0.291265916"," 0.343824345","-0.694726393","-0.588166607"," 0.466161369","-0.593102618","-0.575842502","-0.830710132","-0.172036304"
"1-Methyluric acid","-0.145076197","-0.276082062","-0.181858672","-0.182301207"," 7.439136239","-0.067156043","-0.307374880","-0.305664738","-0.297516798","-0.147042977","-0.299561182","-0.304271361","-0.234010026"," 0.008758732","-0.263703155","-0.111040014","-0.290186870"," 0.403093433"," 0.572560974","-0.281998114","-0.055539680","-0.115230162","-0.265600107","-0.208828908","-0.161138973","-0.023021659"," 0.102764369"," 0.149631930"," 0.082266693","-0.304596279","-0.072688528","-0.305718210","-0.305122336","-0.261836206"," 0.455799250","-0.276337791"," 0.008801995","-0.291283816","-0.175171755","-0.223396237","-0.189814217","-0.128330024","-0.305945183","-0.072942569"," 0.296338488","-0.160054379","-0.144858443","-0.243279189","-0.165095785","-0.257563634","-0.307176135","-0.212430696","-0.207682785","-0.211091656","-0.303804883","-0.096179762","-0.170867811"," 0.085484155","-0.272376682"," 0.585212515"
"gamma-Glutamylglutamic acid"," 0.19833867"," 1.16625980","-0.49314344"," 0.27881265","-0.75618086"," 0.54801547","-1.03115019","-0.97334089","-0.51854296","-1.16581513","-0.67636278","-0.05067841"," 2.13649531","-0.06718505","-0.89472987","-1.16161622","-0.19366209","-0.90955194"," 1.60674976"," 0.75800404","-1.30678186"," 1.93230292","-0.23974140"," 2.33791272"," 1.48119694","-0.97147798"," 2.49333436","-0.23652273","-0.27484892","-0.55856011","-0.57154682"," 0.85269511","-0.95966168"," 0.93618813"," 0.50645333"," 0.06722388","-0.10373959","-0.83957474","-0.33484730"," 0.78503051"," 1.91135266"," 1.70388066","-0.56752308"," 0.28718317","-0.44395724","-0.79139132","-1.60992394","-0.23587474"," 0.37126337","-0.17000986","-0.59507453","-0.26166087"," 0.22055632"," 0.86677908","-0.05016039"," 0.07250916","-1.34489322"," 0.11163971","-1.02992498","-1.24052060"
"13(S)-HOTrE","-0.38861957","-0.13352728","-0.18588105","-0.55911500","-0.23901080","-0.55493621","-0.47749121","-0.71236653","-0.62973370"," 0.35670127","-0.36739455"," 2.76406749","-0.53595788","-0.25613325","-0.66199393","-0.56462781","-0.74297967","-0.15006346","-0.46666251","-0.71049687","-0.42938567"," 0.33947657","-0.59508804","-0.40571163","-0.07699238","-0.69083291","-0.11746434"," 2.16451654","-0.41991989","-0.59858821","-0.08312975"," 2.05373590","-0.78150421","-0.58753733","-0.53202839","-0.35752844"," 0.15315201","-0.24149858","-0.34634245","-0.04347631","-0.12892880","-0.51552169"," 1.76558525"," 0.12468651","-0.21743096","-0.36776440","-0.45064202"," 0.10692892","-0.12247518"," 1.13228428","-0.24718582"," 5.10766784"," 0.79191056","-0.02970519","-0.46091440","-0.61622135","-0.36555792","-0.37935634"," 0.54989753"," 1.13511318"
"Picrotoxinin","-0.31937833","-0.22953703","-0.33061128","-0.26605881","-0.27416695","-0.30430286","-0.31515202","-0.26535620","-0.33259561","-0.27759306","-0.31044314","-0.25026006","-0.25211372","-0.30253302","-0.19736769","-0.30911024","-0.20807037"," 0.17882899","-0.31781536","-0.32249010"," 0.21175738","-0.25400519","-0.27860284"," 0.60612703","-0.30956927","-0.08712565","-0.28901006"," 1.04675222"," 0.52351777","-0.19462600","-0.19717120"," 0.01245757","-0.21871523","-0.31531849"," 0.90020515","-0.28782588"," 5.44070364","-0.32079913","-0.25226172","-0.31768072","-0.10337529","-0.27748426","-0.29678143","-0.17681408","-0.32111748","-0.13826035","-0.30466461","-0.28610839","-0.31606702","-0.29915666","-0.29401887","-0.24210365","-0.31789281","-0.31558851","-0.32270234","-0.30194462","-0.09179800","-0.31564539"," 4.78490838","-0.27606718"
"N1-isopropyl-2-(1H-2-pyrrolylcarbonyl)-1-hydrazinecarboxamide"," 0.35175365","-1.06679856","-0.12144192","-0.96742424"," 3.35906553"," 0.38499064","-1.09270985"," 0.32081770"," 0.89031031","-0.21333894","-0.50099031","-0.98698822","-0.71596078"," 1.08253722"," 0.43239937"," 0.65391679","-0.65048509"," 2.49877593","-0.63121696","-0.07642366"," 1.03892834"," 1.03290412","-1.05522001","-0.56681025","-0.93222500","-0.94158719","-0.51428772"," 1.23368627"," 1.45637894","-0.43582597"," 0.16072355","-0.28018714"," 0.36706042"," 0.82889577","-0.27765276","-0.89501075","-0.90251516","-0.59544871","-0.80591868","-0.90197289"," 1.78749660","-0.65611146","-0.81580145","-0.56347245","-0.78985544","-0.17125631","-1.08988393","-0.08861882","-0.86489458","-0.32522785","-0.46591946","-0.91059102"," 0.29119587","-0.56909478"," 2.06032442","-0.82671531"," 1.21496235"," 1.09290815"," 1.53386751"," 0.19198415"
"Lithocholic acid"," 1.16164421"," 0.79755220","-0.07902712"," 0.14494348","-1.05458286"," 1.58484929"," 1.11163734"," 0.24096687","-1.07593159","-0.31834914"," 1.71148824","-0.71777142"," 0.34910003","-0.32902194","-1.07595635"," 0.31559963"," 2.02861344"," 0.29887633","-0.86885151"," 0.59305389","-1.07595220","-1.07591734","-0.56720873"," 0.20164116","-1.07587597","-0.51725282","-0.60473331","-1.07595045","-1.02565798","-0.43325316","-1.06539922"," 0.73359771"," 2.36658699","-0.63715398"," 0.53045097","-0.71713264"," 1.34776834","-1.07534231"," 1.15167759"," 1.25593040"," 1.35604378"," 0.55747403"," 2.13596493","-0.27096422"," 0.51083553","-0.56373158","-0.07132676"," 1.52182387"," 0.15269433","-1.07594935","-0.28490657","-0.47632906","-1.02561956","-1.01575031","-1.07536692"," 0.20030171","-1.07595741"," 1.19277208","-1.07574165","-1.07592290"
"Dl-Lanthionine","-0.09048533","-0.48131510","-0.35692383","-0.49990636"," 5.77471128","-0.47075650","-0.33514086","-0.52617710","-0.57065937","-0.53088913","-0.44964119","-0.42863423"," 0.13945070","-0.47354097","-0.06139494","-0.51718084"," 0.02267168"," 1.29384963","-0.35933777","-0.27461979"," 0.51906716","-0.39772832","-0.53326985","-0.33501279","-0.46526388","-0.51442988","-0.44816179","-0.29461913"," 0.73203824","-0.39751021","-0.50206282"," 0.86456748","-0.26159063"," 0.23679318","-0.16654029","-0.07725585"," 3.22624830","-0.27512424","-0.47968844"," 0.12564519","-0.44301517","-0.49485363","-0.38836333"," 1.41946808","-0.46645112","-0.22280575","-0.51412299","-0.33032889","-0.32734077","-0.05258162","-0.39791807","-0.47807954","-0.22984237"," 0.03831332","-0.01023581","-0.26802671"," 0.24389846"," 0.05100311","-0.18998312"," 1.70108449"
"2-(Dimethylamino)Guanosine","-0.346264637","-0.325461384","-0.354415431"," 0.210752136"," 0.044921364","-0.015220504","-0.258854820","-0.119990597","-0.339733892","-0.003478136","-0.024080332"," 0.012072959","-0.291171054","-0.209119360","-0.367290692","-0.375898752"," 7.220067234"," 0.015100822","-0.146505318","-0.350080429","-0.362129147"," 0.072219703","-0.127300767","-0.132161315","-0.347436756","-0.174181722","-0.254234136","-0.307154525","-0.172292667"," 0.237143366","-0.203440083","-0.219455545"," 0.137826525","-0.023537055","-0.022596185","-0.258913679","-0.106195172"," 0.104576862","-0.120411067"," 0.326094388","-0.164892458","-0.223324649","-0.284243615","-0.268279124"," 0.178330501","-0.199431244"," 0.019660946","-0.219656440","-0.264774478","-0.319824525","-0.200066869","-0.235364881","-0.288467607","-0.168402140","-0.389517079","-0.306735770","-0.380943645","-0.280883342"," 0.068100991"," 1.906945229"
"Tetradecanedioic acid","-0.511020528"," 2.358527406","-0.801294126"," 1.233943812","-0.224995494"," 0.719910173","-0.160029788"," 1.004673176"," 0.323991607","-1.032822101","-0.704705220","-0.356963496","-0.190459413"," 0.006200594","-1.232292591","-1.038626973"," 0.403275603"," 0.275179045","-0.252299233"," 0.442861726","-1.192275121"," 0.894763970"," 0.170021722"," 0.246101644","-0.588827974","-0.694640705"," 0.264942205","-0.644356799","-1.066485328"," 0.285720302","-0.522366438"," 1.551011644"," 0.652255741"," 1.908292372"," 3.278999567","-0.889676642","-0.766387911","-0.803032418"," 0.577793049"," 3.276338777"," 0.639898574","-0.699321241"," 0.054407037"," 0.411343203","-0.169665381","-0.904495555","-0.702447548","-0.412112777","-0.595611524","-1.074457778"," 0.977872562","-0.357973022","-0.538745409"," 0.157746775","-0.138663197","-0.191032169","-1.244603345"," 0.149885667","-1.376144211","-0.187126499"
"2-Phenylglycine","-1.03801141","-0.24813250","-1.19575205"," 0.23606776","-0.25318384","-1.03921858"," 0.91257779"," 0.56494897"," 0.35706743","-0.90672880"," 1.32253442","-0.32350405","-0.21500067","-1.14954723","-0.88495047","-0.64461562"," 0.17270064"," 0.50231935"," 1.02534443","-0.80040588","-0.64084116"," 0.02153384"," 2.39530237","-0.59506643","-0.99234030","-0.49546561","-0.75647035","-0.26995579"," 0.75207434"," 1.33810459","-1.31610696"," 1.05285996"," 1.20791332"," 3.26611395"," 0.08043366","-0.71952312","-0.96338255","-1.03214073","-0.22674319","-0.36640388"," 2.07868485","-1.06552379"," 1.33177549"," 1.24518528","-0.81870202"," 0.05402009"," 0.45922253","-0.54047470"," 0.83013478","-1.20375600"," 0.57722257"," 0.01569215"," 0.17642451"," 0.04290965","-1.05752201","-0.20518962","-1.02600023"," 0.62067917","-1.09143380"," 1.44224544"
"3-(3,4-Dihydroxyphenyl)-2-Methylalanine","-0.53441342","-0.33750856","-0.48039063"," 0.66735136","-0.08909422","-0.41518408"," 0.43158456"," 0.25018009","-0.57873238","-0.31056680"," 0.71858811","-0.34500710","-0.18457412","-0.51820138","-0.52716459","-0.38359632","-0.32878932"," 0.86170398","-0.01535557","-0.45643993","-0.52400202"," 1.12224705","-0.02191460","-0.39108603","-0.53757874","-0.36765801","-0.12917667","-0.11237638","-0.30202952"," 0.49847606","-0.21341843"," 0.43623754"," 0.33080553","-0.22541255"," 0.53352536"," 6.82610319","-0.21848927","-0.61576475","-0.12948337","-0.23836525"," 0.48364270","-0.39282613"," 0.78910307","-0.26416810","-0.48331685"," 1.05533650","-0.26161849","-0.16807571","-0.33497837","-0.61465444","-0.11887122","-0.32161574"," 0.18600651","-0.40179964","-0.58777790","-0.09978962","-0.45524354","-0.28014587","-0.56431783","-0.30991815"
"D-(+)-Glucose"," 0.352015119"," 0.694763517","-1.760077630","-0.010897205","-1.449537590"," 2.039735788"," 0.138790341","-0.257714624"," 0.313781218","-1.246755029"," 0.642972629","-0.681160869","-0.280759519"," 1.106570702"," 0.418044185","-0.221234072","-0.686596059","-1.708174372"," 0.168772242"," 0.724148813"," 2.494185124"," 1.184028010","-1.299563701","-1.170247586"," 0.348103635"," 0.355818498"," 0.212806378","-0.447741529","-1.309167898","-0.610331642"," 0.385140971"," 0.301923172","-1.288832542"," 1.374220601","-0.718398625"," 1.108442147","-1.032419097"," 0.642032574"," 0.269021297","-0.344164868"," 1.486107502","-0.885325554","-0.127266255"," 0.709365753","-0.252248336"," 0.832521539","-1.408738160"," 1.604654721"," 0.528398563","-0.139962150","-0.716873508"," 0.719060558"," 2.264867500","-0.709089053","-1.355990844"," 0.865694802","-0.128621946","-0.002641104","-0.921854267","-1.113602267"
"6-Ketoprostaglandin F1α","-0.71659280"," 0.77122059","-0.77891281"," 2.47714274","-0.35813978"," 0.15493690","-0.43950956"," 0.51898711"," 0.85502203"," 0.56799555","-0.14389075","-0.59608242","-0.63021015","-0.51031378","-0.85116427","-0.72902318"," 1.79898622","-0.41445162","-0.99721607","-0.51910687","-1.07927902","-0.16113718"," 0.23769436"," 0.08986690","-0.64401622","-0.43847816"," 0.19896482","-0.62400056","-0.52194987"," 0.15651984","-0.44647377"," 0.89156862"," 2.00085220"," 1.26557386"," 1.83868122","-0.72644939","-0.17009575","-0.98769314"," 4.11996738"," 1.08538687"," 0.04069922","-0.49373695","-0.19891671","-0.17405709"," 1.30460940"," 0.46710215"," 0.19062795","-0.71284329","-0.31623078","-1.03460175"," 0.61325297","-0.50929516","-0.70677251","-0.57963261","-0.90374424"," 0.94977852","-1.00505943","-0.71986992","-1.04377068","-0.71271916"
"Monobutyl phthalate","-0.76754841"," 0.26076995"," 1.19723123","-0.18815652"," 0.32983151","-0.63060230"," 5.02145856","-0.75714717","-0.76866792","-0.67607551"," 0.63068141"," 0.01244951"," 0.02454981"," 0.20592757","-0.46533743","-0.74270840"," 0.36243052","-0.17910699","-0.37601721","-0.28056506"," 0.48968456"," 1.04912559","-0.45727915","-0.39555297","-0.34552443","-0.21062902","-0.02491234","-0.61433706","-0.48410002","-0.10580607","-0.86292661"," 0.08746397","-0.05962960","-0.55157662"," 0.08854898","-0.33692995","-0.27466707","-0.20389048"," 0.22559096","-0.26465448"," 0.25188465","-0.48180692","-0.26649461","-0.69670710","-0.34032690","-0.78431959","-0.94445238","-0.22105786","-0.40152455","-0.48788168","-0.25973162"," 0.75439805"," 3.21313122","-0.73831567"," 0.08921085"," 0.04859577"," 0.17399792"," 2.95785818","-0.89603812"," 0.06818502"
"Quercetin","-0.20745729","-0.24431710","-0.28671494","-0.27532639","-0.26309918","-0.28369362","-0.26625085","-0.20424517","-0.23915123","-0.24156454","-0.28911421","-0.26802240","-0.23847586","-0.01803535"," 3.31954753","-0.28657549"," 0.01235730","-0.07554974","-0.31167076","-0.24245992"," 0.14323724","-0.25697044","-0.14219533","-0.05741767","-0.28372970","-0.30505042","-0.23659297","-0.11060312","-0.30336475"," 5.71619259","-0.30413661","-0.23974958","-0.26649669","-0.24542548","-0.23984371","-0.12145706","-0.24341933"," 0.05057697","-0.28835978","-0.28799657","-0.27432908","-0.23698631","-0.23488419","-0.24349236","-0.24482204","-0.27632608","-0.30521281","-0.26867919","-0.30895547","-0.31989464","-0.28180549","-0.23188768","-0.29926319","-0.27495259","-0.27193643","-0.29377351","-0.14041820","-0.25288500"," 3.44001628"," 0.25310956"
"8Z,11Z,14Z-Eicosatrienoic acid","-0.21309863","-0.23980083"," 0.04114500","-0.22264530","-0.06358756","-0.19395249","-0.23305962"," 0.76283676","-0.21651313","-0.24157689","-0.23647313","-0.23419695","-0.24088148","-0.24297631","-0.24187696","-0.23387874"," 1.49273679"," 0.61784355","-0.13925533","-0.23471485","-0.23060730","-0.23923980","-0.24386502","-0.24030760","-0.21941913","-0.24228100","-0.24130221","-0.23997811","-0.23587974","-0.02396330","-0.23610905","-0.07126604"," 7.26781526","-0.23733187","-0.22193171","-0.24213501","-0.23896722","-0.24040539","-0.23871211"," 0.02672475"," 0.57468547","-0.23244550"," 0.37849407","-0.23326385","-0.17404561","-0.24020271","-0.21047278","-0.23391959","-0.21946727","-0.20637143","-0.13533761","-0.23916091","-0.21969000","-0.23092336","-0.16394035","-0.22515080","-0.23473905","-0.20107537","-0.24450291","-0.20538274"
"tetranor-12(R)-HETE","-0.979569566","-0.002060756","-0.683801321"," 0.897609339","-0.837780626","-0.570343779","-0.561803940","-0.097504759"," 0.215780905","-0.522422972"," 0.011500227","-0.745902365"," 0.511324258"," 0.097419719"," 0.226349976","-0.852768653","-0.809637173"," 2.949787206","-0.845339557"," 0.385269306"," 0.323349527"," 0.715944687","-0.015753872","-0.778302281","-0.339801597","-0.704927441"," 0.345307296"," 0.539360791","-0.495832657","-0.672802538","-0.383963716","-0.158125457"," 0.437132994"," 0.849764106","-0.489888207"," 0.605883188","-0.291883981"," 0.943760798","-0.037704339","-0.021439744"," 0.343520112","-0.910214578","-0.654424779"," 0.464586911","-0.738624733"," 4.816931308","-0.317770589","-0.315584134","-0.664578144"," 0.609534294","-0.120498360","-0.649534046","-0.848291732"," 0.454074629","-1.186770999","-0.611490956","-0.849214524"," 0.237439889"," 0.068953898"," 2.715773505"
"Ala-Leu","-0.0636965659","-0.1219323067","-0.3636555058"," 0.7485693897"," 0.2701664577","-0.2481997586","-0.0762692111","-0.3254741486"," 1.3013030636","-0.4098357728","-0.3866269675","-0.2268173379"," 1.8005569010"," 6.8444426705","-0.4043027955","-0.4021781802","-0.3236505941","-0.4098844523","-0.3276687152","-0.0371217420","-0.3634254633"," 0.3223864382","-0.1631160134"," 1.4370061882","-0.2076241627","-0.1982148465","-0.1314504004","-0.0875221111","-0.2225236634","-0.0843834814","-0.3637724689","-0.4376469775","-0.2922340464","-0.2064212275","-0.0350247892","-0.0401854699","-0.2919772761"," 0.1641409617","-0.3744887126","-0.3908150164","-0.0002074422","-0.1135760203","-0.4190630908","-0.2799379023","-0.2905899174","-0.3880702876","-0.4766289188","-0.1189759425"," 0.0210305551","-0.0226540309","-0.4724544153","-0.3095495388","-0.3863974981"," 0.1840703735","-0.4072616251","-0.2102250501","-0.3749529698","-0.1524949985","-0.3323380256","-0.3201551440"
"N-lactoyl-phenylalanine","-0.74388618","-0.59672740"," 2.41608987","-0.33084937","-0.51390874","-0.63497179"," 1.37741252","-0.15156709"," 0.57885042","-0.63585252"," 0.78377794","-0.45508872","-0.14094244"," 0.99617368","-0.78777307","-0.22322329","-0.01867425","-0.42062313"," 3.53052319","-0.73866358","-0.09465960","-0.38969298"," 4.44284317"," 0.38118690","-0.66995781","-0.62259538","-0.39127487"," 0.01702149","-0.74894206"," 2.14192797","-0.68738438"," 0.69010064","-0.07147782","-0.72231856","-0.14117907","-0.42080864","-0.06737452","-0.62249926","-0.44069831"," 0.28034802","-0.06283656","-0.70886372","-0.07306350","-0.53626478","-0.44871358","-0.74039596","-0.11481061","-0.49795368","-0.38987881","-0.06530045"," 0.07660755","-0.75165685","-0.66965993","-0.19970313"," 0.05295347"," 0.24645638","-0.72143520","-0.10923045"," 0.92291153","-0.36180270"
